combination_id,n_d,n_a,n_steps,gamma,lambda_sparse,lr,cat_emb_dim,batch_size,virtual_batch_size,threshold,val_acc,val_f1,status,timestamp,error
311447,48,64,3,1.2,0.01,0.01,1,256,256,0.5900000000000003,0.8461774639238563,0.7177464788732394,success,2025-12-05 12:43:26,
297245,48,48,5,1.8,0.0001,0.005,3,256,256,0.6200000000000003,0.8526251151366288,0.7136038186157518,success,2025-12-05 12:45:04,
313592,48,64,3,1.5,0.001,0.02,4,512,256,0.6800000000000004,0.8584587043291373,0.721113127646703,success,2025-12-05 12:45:32,
299814,48,48,6,1.2,0.0005,0.015,3,1024,64,0.6500000000000004,0.8563094872582131,0.7177322074788902,success,2025-12-05 12:46:32,
299041,48,48,6,1.0,0.01,0.005,2,1024,128,0.7100000000000004,0.8599938593797973,0.7164179104477612,success,2025-12-05 12:47:17,
281275,48,48,3,1.0,0.0,0.005,3,1024,128,0.7200000000000004,0.8593797973595333,0.71375,success,2025-12-05 12:47:46,
284006,48,48,3,1.3,0.0005,0.01,2,256,256,0.6000000000000003,0.8590727663494013,0.716841455891425,success,2025-12-05 12:49:13,
281899,48,48,3,1.0,0.0005,0.025,3,256,128,0.6200000000000003,0.8593797973595333,0.7312206572769953,success,2025-12-05 12:50:27,
276807,48,32,7,1.2,0.0,0.01,2,512,64,0.6400000000000003,0.8590727663494013,0.7209726443768997,success,2025-12-05 12:52:18,
310409,48,64,3,1.0,0.01,0.015,5,1024,256,0.7800000000000005,0.8584587043291373,0.7145510835913312,success,2025-12-05 12:52:37,
289536,48,48,4,1.3,0.0001,0.025,1,1024,64,0.6300000000000003,0.8477126189745164,0.7188208616780045,success,2025-12-05 12:53:15,
285837,48,48,3,1.8,0.0,0.01,5,1024,64,0.5900000000000003,0.8409579367516119,0.7119021134593994,success,2025-12-05 12:53:49,
297159,48,48,5,1.8,0.0,0.02,3,1024,64,0.6900000000000004,0.8649063555419098,0.7201017811704835,success,2025-12-05 12:54:57,
273016,48,32,6,1.3,0.001,0.015,1,256,128,0.5800000000000003,0.842800122812404,0.7189901207464325,success,2025-12-05 12:57:27,
313195,48,64,3,1.5,0.0001,0.025,5,512,128,0.7000000000000004,0.8532391771568928,0.7123947051744886,success,2025-12-05 12:57:56,
274729,48,32,6,1.8,0.0001,0.005,1,512,128,0.6500000000000004,0.8464844949339884,0.7062279670975323,success,2025-12-05 12:59:22,
288754,48,48,4,1.2,0.001,0.01,4,1024,128,0.6100000000000003,0.8510899600859687,0.7214244686961516,success,2025-12-05 12:59:55,
298326,48,48,6,1.0,0.0,0.025,3,512,64,0.6900000000000004,0.8593797973595333,0.7217496962332929,success,2025-12-05 13:00:51,
279661,48,32,7,1.5,0.0005,0.025,4,512,128,0.6600000000000004,0.8483266809947805,0.710093896713615,success,2025-12-05 13:02:11,
280229,48,32,7,1.8,0.0,0.015,2,512,256,0.7000000000000004,0.8642922935216457,0.7195431472081218,success,2025-12-05 13:03:49,
313562,48,64,3,1.5,0.001,0.02,1,256,256,0.6000000000000003,0.854467301197421,0.7253765932792584,success,2025-12-05 13:05:11,
286207,48,48,3,1.8,0.0005,0.005,1,1024,128,0.7100000000000004,0.8596868283696654,0.7159726538222498,success,2025-12-05 13:05:47,
314959,48,64,3,1.8,0.01,0.025,1,512,128,0.6900000000000004,0.8513969910961007,0.7218390804597701,success,2025-12-05 13:06:16,
312192,48,64,3,1.3,0.0005,0.015,4,256,64,0.6600000000000004,0.8556954252379491,0.7165259348612787,success,2025-12-05 13:07:21,
274193,48,32,6,1.5,0.001,0.02,1,1024,256,0.6800000000000004,0.8541602701872889,0.7112462006079028,success,2025-12-05 13:07:54,
294676,48,48,5,1.2,0.01,0.02,2,1024,128,0.6500000000000004,0.8596868283696654,0.7268380155409444,success,2025-12-05 13:08:37,
300086,48,48,6,1.2,0.001,0.02,3,1024,256,0.7300000000000004,0.8556954252379491,0.717208182912154,success,2025-12-05 13:09:05,
276736,48,32,7,1.0,0.01,0.025,4,512,128,0.6600000000000004,0.8575376112987412,0.7228195937873357,success,2025-12-05 13:10:18,
280520,48,32,7,1.8,0.0001,0.02,4,1024,256,0.6400000000000003,0.8375805956401596,0.7039731393396754,success,2025-12-05 13:10:57,
277707,48,32,7,1.2,0.01,0.01,2,512,64,0.6100000000000003,0.8486337120049124,0.715850144092219,success,2025-12-05 13:13:00,
301167,48,48,6,1.3,0.001,0.015,4,256,64,0.7200000000000004,0.8612219834203254,0.7135614702154626,success,2025-12-05 13:15:18,
306149,48,48,7,1.3,0.0,0.02,2,512,256,0.6200000000000003,0.8526251151366288,0.7159763313609467,success,2025-12-05 13:17:10,
274518,48,32,6,1.8,0.0,0.005,3,256,64,0.6300000000000003,0.8599938593797973,0.7178217821782178,success,2025-12-05 13:20:39,
280500,48,32,7,1.8,0.0001,0.02,2,1024,64,0.6000000000000003,0.8480196499846484,0.7058823529411765,success,2025-12-05 13:21:48,
282570,48,48,3,1.2,0.0,0.025,2,1024,64,0.7400000000000004,0.8532391771568928,0.711352657004831,success,2025-12-05 13:22:10,
303223,48,48,6,1.8,0.0005,0.02,2,512,128,0.6500000000000004,0.8535462081670249,0.7142001198322349,success,2025-12-05 13:23:32,
310307,48,64,3,1.0,0.01,0.005,4,512,256,0.6500000000000004,0.8624501074608536,0.726161369193154,success,2025-12-05 13:24:07,
295047,48,48,5,1.3,0.0001,0.01,4,256,64,0.5800000000000003,0.8431071538225361,0.7181467181467182,success,2025-12-05 13:25:47,
279351,48,32,7,1.5,0.0001,0.015,5,256,64,0.6700000000000004,0.8633712004912496,0.7181760607979734,success,2025-12-05 13:29:38,
304390,48,48,7,1.0,0.0005,0.025,2,256,128,0.6500000000000004,0.856002456248081,0.7219917012448133,success,2025-12-05 13:31:10,
274538,48,32,6,1.8,0.0,0.005,5,256,256,0.6400000000000003,0.8526251151366288,0.7139451728247914,success,2025-12-05 13:33:35,
273863,48,32,6,1.5,0.0005,0.005,5,256,256,0.6200000000000003,0.8603008903899294,0.715090795241077,success,2025-12-05 13:35:36,
312936,48,64,3,1.5,0.0,0.025,1,1024,64,0.6200000000000003,0.8612219834203254,0.7257281553398058,success,2025-12-05 13:36:05,
283620,48,48,3,1.3,0.0,0.015,4,512,64,0.5500000000000003,0.8464844949339884,0.7252747252747253,success,2025-12-05 13:36:44,
295082,48,48,5,1.3,0.0001,0.015,2,1024,256,0.6300000000000003,0.8532391771568928,0.7174940898345153,success,2025-12-05 13:37:21,
278919,48,32,7,1.3,0.01,0.02,2,256,64,0.5700000000000003,0.8492477740251766,0.7054589082183563,success,2025-12-05 13:39:48,
307850,48,48,7,1.5,0.001,0.01,1,512,256,0.6400000000000003,0.854467301197421,0.712378640776699,success,2025-12-05 13:41:43,
310136,48,64,3,1.0,0.001,0.01,5,512,256,0.6600000000000004,0.8517040221062327,0.7147076196101595,success,2025-12-05 13:42:11,
304857,48,48,7,1.0,0.01,0.025,4,256,64,0.6100000000000003,0.8443352778630642,0.7166014533258804,success,2025-12-05 13:44:45,
312954,48,64,3,1.5,0.0,0.025,3,1024,64,0.7200000000000004,0.8581516733190052,0.7256532066508313,success,2025-12-05 13:45:10,
287247,48,48,4,1.0,0.0001,0.02,2,512,64,0.7200000000000004,0.8633712004912496,0.7213525360050094,success,2025-12-05 13:45:56,
288392,48,48,4,1.2,0.0001,0.02,4,512,256,0.6900000000000004,0.8612219834203254,0.7139240506329114,success,2025-12-05 13:46:41,
285423,48,48,3,1.5,0.001,0.015,4,1024,64,0.7300000000000004,0.8596868283696654,0.7116719242902209,success,2025-12-05 13:47:06,
303301,48,48,6,1.8,0.001,0.005,1,256,128,0.6900000000000004,0.8566165182683451,0.7161094224924012,success,2025-12-05 13:50:15,
273401,48,32,6,1.5,0.0,0.005,3,1024,256,0.5800000000000003,0.8400368437212159,0.7110371602884082,success,2025-12-05 13:50:50,
276100,48,32,7,1.0,0.0005,0.005,3,1024,128,0.6400000000000003,0.8526251151366288,0.7228637413394919,success,2025-12-05 13:51:44,
311230,48,64,3,1.2,0.001,0.01,2,256,128,0.6600000000000004,0.8572305802886091,0.7246891651865008,success,2025-12-05 13:52:36,
274419,48,32,6,1.5,0.01,0.02,2,256,64,0.6400000000000003,0.8467915259441203,0.7130534790109259,success,2025-12-05 13:54:42,
285226,48,48,3,1.5,0.0005,0.02,2,1024,128,0.7100000000000004,0.8556954252379491,0.7175480769230769,success,2025-12-05 13:55:08,
312786,48,64,3,1.5,0.0,0.005,5,256,64,0.6700000000000004,0.8556954252379491,0.7165259348612787,success,2025-12-05 13:56:10,
288335,48,48,4,1.2,0.0001,0.015,3,256,256,0.6900000000000004,0.8467915259441203,0.7201346045989905,success,2025-12-05 13:57:33,
282830,48,48,3,1.2,0.0005,0.005,1,512,256,0.6700000000000004,0.8529321461467608,0.715727002967359,success,2025-12-05 13:58:02,
278124,48,32,7,1.3,0.0001,0.005,3,1024,64,0.6700000000000004,0.8535462081670249,0.7114337568058077,success,2025-12-05 13:59:13,
276316,48,32,7,1.0,0.001,0.005,2,1024,128,0.6900000000000004,0.8603008903899294,0.714375392341494,success,2025-12-05 14:00:00,
294189,48,48,5,1.2,0.0005,0.015,3,1024,64,0.6900000000000004,0.8513969910961007,0.7139479905437353,success,2025-12-05 14:00:37,
296596,48,48,5,1.5,0.001,0.01,1,256,128,0.6800000000000004,0.8612219834203254,0.7213316892725031,success,2025-12-05 14:02:12,
313366,48,64,3,1.5,0.0005,0.02,4,512,128,0.6800000000000004,0.8630641694811176,0.7229813664596273,success,2025-12-05 14:02:50,
283847,48,48,3,1.3,0.0001,0.015,4,512,256,0.7000000000000004,0.8504758980657047,0.7183342972816658,success,2025-12-05 14:03:18,
305154,48,48,7,1.2,0.0001,0.01,2,256,64,0.6900000000000004,0.8569235492784771,0.715158924205379,success,2025-12-05 14:06:52,
274157,48,32,6,1.5,0.001,0.015,2,1024,256,0.6400000000000003,0.8535462081670249,0.7205623901581723,success,2025-12-05 14:07:50,
306830,48,48,7,1.3,0.001,0.02,3,256,256,0.6300000000000003,0.8489407430150445,0.7146171693735499,success,2025-12-05 14:11:15,
293146,48,48,5,1.0,0.0005,0.025,2,1024,128,0.5500000000000003,0.8415719987718759,0.7207792207792207,success,2025-12-05 14:11:55,
283817,48,48,3,1.3,0.0001,0.015,1,256,256,0.6900000000000004,0.8652133865520417,0.720560152768937,success,2025-12-05 14:13:32,
301735,48,48,6,1.5,0.0001,0.005,2,256,128,0.6400000000000003,0.8461774639238563,0.7132226674298798,success,2025-12-05 14:16:04,
304354,48,48,7,1.0,0.0005,0.02,3,256,128,0.6300000000000003,0.8572305802886091,0.7256637168141593,success,2025-12-05 14:18:31,
282733,48,48,3,1.2,0.0001,0.015,5,1024,128,0.7600000000000005,0.8630641694811176,0.7194968553459119,success,2025-12-05 14:18:51,
284858,48,48,3,1.5,0.0001,0.005,1,1024,256,0.7200000000000004,0.8569235492784771,0.711276332094176,success,2025-12-05 14:19:20,
272705,48,32,6,1.3,0.0005,0.005,1,512,256,0.6100000000000003,0.8538532391771569,0.7149700598802395,success,2025-12-05 14:21:05,
273029,48,32,6,1.3,0.001,0.015,2,512,256,0.5900000000000003,0.8461774639238563,0.7148548662492885,success,2025-12-05 14:22:22,
306943,48,48,7,1.3,0.01,0.005,5,1024,128,0.6100000000000003,0.8467915259441203,0.7107246376811595,success,2025-12-05 14:23:24,
283267,48,48,3,1.2,0.001,0.025,5,256,128,0.6500000000000004,0.8535462081670249,0.7212156633547633,success,2025-12-05 14:24:33,
272624,48,32,6,1.3,0.0001,0.02,2,512,256,0.6300000000000003,0.8510899600859687,0.7111375818939845,success,2025-12-05 14:25:54,
292664,48,48,5,1.0,0.0,0.02,4,256,256,0.7300000000000004,0.8581516733190052,0.7182926829268292,success,2025-12-05 14:27:04,
277262,48,32,7,1.2,0.0005,0.01,2,1024,256,0.6500000000000004,0.8578446423088733,0.7232516437537359,success,2025-12-05 14:28:10,
312252,48,64,3,1.3,0.0005,0.02,5,1024,64,0.7000000000000004,0.8609149524101934,0.7208872458410351,success,2025-12-05 14:28:42,
272296,48,32,6,1.3,0.0,0.01,1,256,128,0.5800000000000003,0.8501688670555726,0.7198622273249139,success,2025-12-05 14:31:33,
308469,48,48,7,1.8,0.0,0.025,5,512,64,0.7300000000000004,0.8480196499846484,0.6837060702875399,success,2025-12-05 14:32:35,
303213,48,48,6,1.8,0.0005,0.02,1,512,64,0.6600000000000004,0.8464844949339884,0.7149372862029647,success,2025-12-05 14:34:39,
301863,48,48,6,1.5,0.0001,0.02,1,512,64,0.6300000000000003,0.8452563708934603,0.7066356228172294,success,2025-12-05 14:35:58,
279545,48,32,7,1.5,0.0005,0.015,1,512,256,0.6300000000000003,0.856002456248081,0.7223208999407934,success,2025-12-05 14:37:57,
281605,48,48,3,1.0,0.0001,0.015,5,512,128,0.6600000000000004,0.8593797973595333,0.717283950617284,success,2025-12-05 14:38:35,
274741,48,32,6,1.8,0.0001,0.005,2,1024,128,0.5700000000000003,0.8271415412956709,0.7003725385843533,success,2025-12-05 14:39:29,
291960,48,48,4,1.8,0.0005,0.02,1,256,64,0.6100000000000003,0.842800122812404,0.7123595505617978,success,2025-12-05 14:41:17,
301470,48,48,6,1.3,0.01,0.025,2,1024,64,0.7200000000000004,0.8664415105925698,0.725897920604915,success,2025-12-05 14:42:09,
285158,48,48,3,1.5,0.0005,0.01,5,256,256,0.6300000000000003,0.8452563708934603,0.7142857142857143,success,2025-12-05 14:43:35,
275533,48,32,6,1.8,0.01,0.015,5,1024,128,0.6600000000000004,0.8467915259441203,0.7107246376811595,success,2025-12-05 14:44:27,
313906,48,64,3,1.8,0.0,0.005,4,512,128,0.6500000000000004,0.8581516733190052,0.7243436754176611,success,2025-12-05 14:45:15,
288552,48,48,4,1.2,0.0005,0.015,2,512,64,0.7300000000000004,0.8639852625115136,0.7219083490269931,success,2025-12-05 14:46:18,
293394,48,48,5,1.0,0.001,0.025,5,512,64,0.6200000000000003,0.854774332207553,0.7199526346950859,success,2025-12-05 14:47:23,
310148,48,64,3,1.0,0.001,0.015,1,1024,256,0.6400000000000003,0.8498618360454406,0.7161926871735346,success,2025-12-05 14:47:54,
311696,48,64,3,1.3,0.0,0.01,3,1024,256,0.6900000000000004,0.8397298127110838,0.7067415730337079,success,2025-12-05 14:48:14,
307869,48,48,7,1.5,0.001,0.01,3,1024,64,0.6500000000000004,0.8520110531163647,0.7144549763033176,success,2025-12-05 14:49:33,
276184,48,32,7,1.0,0.0005,0.015,3,256,128,0.6500000000000004,0.8590727663494013,0.7285629804849202,success,2025-12-05 14:51:40,
298061,48,48,5,1.8,0.01,0.02,3,1024,256,0.6100000000000003,0.8338962235185754,0.7042099507927829,success,2025-12-05 14:52:18,
302098,48,48,6,1.5,0.0005,0.02,2,512,128,0.5800000000000003,0.8397298127110838,0.7050847457627119,success,2025-12-05 14:53:29,
297638,48,48,5,1.8,0.0005,0.025,1,1024,256,0.7000000000000004,0.8609149524101934,0.7198515769944341,success,2025-12-05 14:54:14,
294012,48,48,5,1.2,0.0001,0.02,4,256,64,0.6800000000000004,0.8630641694811176,0.7177215189873418,success,2025-12-05 14:56:07,
271114,48,32,6,1.0,0.01,0.025,4,1024,128,0.6000000000000003,0.8381946576604237,0.7155963302752294,success,2025-12-05 14:56:53,
289016,48,48,4,1.2,0.01,0.015,3,1024,256,0.6200000000000003,0.8538532391771569,0.7203290246768508,success,2025-12-05 14:57:37,
276605,48,32,7,1.0,0.01,0.01,4,1024,256,0.7100000000000004,0.855388394227817,0.7211367673179396,success,2025-12-05 14:58:18,
310243,48,64,3,1.0,0.001,0.025,2,512,128,0.7200000000000004,0.8645993245317777,0.7289489858635525,success,2025-12-05 14:59:00,
286027,48,48,3,1.8,0.0001,0.01,1,1024,128,0.6600000000000004,0.8606079214000614,0.7207872078720787,success,2025-12-05 14:59:30,
283602,48,48,3,1.3,0.0,0.015,2,512,64,0.6700000000000004,0.8612219834203254,0.7250608272506083,success,2025-12-05 15:00:13,
278279,48,32,7,1.3,0.0001,0.02,5,1024,256,0.6900000000000004,0.8572305802886091,0.7217235188509874,success,2025-12-05 15:01:11,
273189,48,32,6,1.3,0.01,0.005,5,512,64,0.6200000000000003,0.8440282468529321,0.7113636363636363,success,2025-12-05 15:02:48,
287102,48,48,4,1.0,0.0001,0.005,1,256,256,0.6800000000000004,0.8609149524101934,0.7149150409062304,success,2025-12-05 15:04:35,
278908,48,32,7,1.3,0.01,0.015,5,1024,128,0.7100000000000004,0.8590727663494013,0.7161410018552876,success,2025-12-05 15:05:40,
291865,48,48,4,1.8,0.0005,0.005,5,512,128,0.6900000000000004,0.8645993245317777,0.7196439923712651,success,2025-12-05 15:06:34,
300878,48,48,6,1.3,0.0005,0.01,1,1024,256,0.7000000000000004,0.8639852625115136,0.7229518449030644,success,2025-12-05 15:07:24,
287704,48,48,4,1.0,0.001,0.02,3,256,128,0.6400000000000003,0.8538532391771569,0.7146282973621103,success,2025-12-05 15:08:37,
307968,48,48,7,1.5,0.001,0.02,4,1024,64,0.6600000000000004,0.8271415412956709,0.6945198046663049,success,2025-12-05 15:09:23,
273705,48,32,6,1.5,0.0001,0.015,2,1024,64,0.5700000000000003,0.8403438747313479,0.7072072072072072,success,2025-12-05 15:10:31,
286109,48,48,3,1.8,0.0001,0.015,5,1024,256,0.6800000000000004,0.8606079214000614,0.7155388471177945,success,2025-12-05 15:10:55,
292877,48,48,5,1.0,0.0001,0.02,2,1024,256,0.6300000000000003,0.8440282468529321,0.7152466367713004,success,2025-12-05 15:11:32,
297917,48,48,5,1.8,0.01,0.005,2,1024,256,0.5800000000000003,0.8400368437212159,0.7100723427935448,success,2025-12-05 15:12:19,
271000,48,32,6,1.0,0.01,0.015,2,256,128,0.6700000000000004,0.8652133865520417,0.7240729101194218,success,2025-12-05 15:14:29,
274243,48,32,6,1.5,0.001,0.025,2,512,128,0.6100000000000003,0.8526251151366288,0.7169811320754716,success,2025-12-05 15:15:46,
292531,48,48,5,1.0,0.0,0.005,4,512,128,0.6300000000000003,0.8581516733190052,0.7230215827338129,success,2025-12-05 15:16:56,
279084,48,32,7,1.5,0.0,0.01,5,512,64,0.5700000000000003,0.8434141848326681,0.7134831460674157,success,2025-12-05 15:19:09,
273125,48,32,6,1.3,0.001,0.025,3,256,256,0.5900000000000003,0.8458704329137243,0.7150964812712827,success,2025-12-05 15:21:03,
307839,48,48,7,1.5,0.001,0.005,5,512,64,0.6400000000000003,0.8581516733190052,0.7119700748129676,success,2025-12-05 15:23:25,
289316,48,48,4,1.3,0.0,0.025,2,256,256,0.6300000000000003,0.8446423088731962,0.7157303370786516,success,2025-12-05 15:24:57,
292715,48,48,5,1.0,0.0,0.025,4,1024,256,0.7100000000000004,0.8599938593797973,0.7243047158403869,success,2025-12-05 15:25:24,
272730,48,32,6,1.3,0.0005,0.005,4,512,64,0.7000000000000004,0.867669634633098,0.7273877292852625,success,2025-12-05 15:27:06,
270672,48,32,6,1.0,0.0005,0.025,5,1024,64,0.6400000000000003,0.8498618360454406,0.7155322862129145,success,2025-12-05 15:27:58,
300457,48,48,6,1.3,0.0,0.01,5,256,128,0.6800000000000004,0.8563094872582131,0.7132352941176471,success,2025-12-05 15:29:52,
271655,48,32,6,1.2,0.0005,0.01,4,1024,256,0.6900000000000004,0.8578446423088733,0.7175106772422208,success,2025-12-05 15:30:32,
295631,48,48,5,1.3,0.001,0.025,3,1024,256,0.6400000000000003,0.8431071538225361,0.7101531480431084,success,2025-12-05 15:31:05,
294953,48,48,5,1.3,0.0,0.025,3,512,256,0.7000000000000004,0.8624501074608536,0.723114956736712,success,2025-12-05 15:32:21,
310019,48,64,3,1.0,0.0005,0.025,2,512,256,0.7000000000000004,0.8563094872582131,0.7160194174757282,success,2025-12-05 15:33:00,
296447,48,48,5,1.5,0.0005,0.015,4,512,256,0.6200000000000003,0.8504758980657047,0.7143695014662756,success,2025-12-05 15:34:35,
277732,48,32,7,1.2,0.01,0.01,5,256,128,0.6500000000000004,0.8599938593797973,0.7243047158403869,success,2025-12-05 15:37:33,
294743,48,48,5,1.2,0.01,0.025,5,256,256,0.6200000000000003,0.8474055879643844,0.7164860239589276,success,2025-12-05 15:38:57,
274730,48,32,6,1.8,0.0001,0.005,1,512,256,0.5800000000000003,0.8458704329137243,0.7124856815578465,success,2025-12-05 15:40:45,
294106,48,48,5,1.2,0.0005,0.005,4,512,128,0.6900000000000004,0.8538532391771569,0.7176749703440095,success,2025-12-05 15:41:38,
300240,48,48,6,1.2,0.01,0.015,1,256,64,0.7200000000000004,0.8645993245317777,0.72,success,2025-12-05 15:44:26,
303330,48,48,6,1.8,0.001,0.005,4,512,64,0.6400000000000003,0.8538532391771569,0.715311004784689,success,2025-12-05 15:46:17,
282892,48,48,3,1.2,0.0005,0.01,3,512,128,0.6600000000000004,0.8529321461467608,0.716735659373152,success,2025-12-05 15:47:03,
309481,48,64,3,1.0,0.0,0.015,2,1024,128,0.6500000000000004,0.8443352778630642,0.7200441744892324,success,2025-12-05 15:47:23,
307547,48,48,7,1.5,0.0001,0.025,2,1024,256,0.6700000000000004,0.8397298127110838,0.7106430155210643,success,2025-12-05 15:48:05,
293029,48,48,5,1.0,0.0005,0.01,4,1024,128,0.6600000000000004,0.8513969910961007,0.7186046511627907,success,2025-12-05 15:48:42,
277949,48,32,7,1.3,0.0,0.01,4,256,256,0.6900000000000004,0.8606079214000614,0.7221542227662179,success,2025-12-05 15:51:39,
300227,48,48,6,1.2,0.01,0.01,4,512,256,0.6600000000000004,0.8642922935216457,0.7288343558282209,success,2025-12-05 15:52:46,
302891,48,48,6,1.8,0.0001,0.005,5,512,256,0.6600000000000004,0.8464844949339884,0.7044917257683215,success,2025-12-05 15:54:08,
271219,48,32,6,1.2,0.0,0.015,1,512,128,0.6700000000000004,0.856002456248081,0.7216617210682492,success,2025-12-05 15:55:22,
276885,48,32,7,1.2,0.0,0.02,1,256,64,0.7000000000000004,0.8621430764507215,0.7233518176216882,success,2025-12-05 15:58:43,
271710,48,32,6,1.2,0.0005,0.02,1,256,64,0.6800000000000004,0.8645993245317777,0.7174887892376681,success,2025-12-05 16:01:38,
299584,48,48,6,1.2,0.0001,0.015,3,256,128,0.6200000000000003,0.8575376112987412,0.7181044957472661,success,2025-12-05 16:04:31,
275836,48,32,7,1.0,0.0,0.025,4,512,128,0.6900000000000004,0.8587657353392693,0.7139303482587065,success,2025-12-05 16:05:47,
296503,48,48,5,1.5,0.0005,0.02,5,1024,128,0.7100000000000004,0.8495548050353086,0.7086801426872771,success,2025-12-05 16:06:21,
311589,48,64,3,1.2,0.01,0.025,2,256,64,0.6400000000000003,0.855388394227817,0.7214665878178592,success,2025-12-05 16:08:01,
290005,48,48,4,1.3,0.001,0.025,3,1024,128,0.6700000000000004,0.84218606079214,0.7102593010146562,success,2025-12-05 16:08:31,
284894,48,48,3,1.5,0.0001,0.005,5,1024,256,0.6900000000000004,0.8596868283696654,0.7134796238244514,success,2025-12-05 16:08:59,
308621,48,48,7,1.8,0.0001,0.02,2,256,256,0.5700000000000003,0.8474055879643844,0.7128827267475448,success,2025-12-05 16:11:07,
